time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-16 09:30:00-05:00,MyStrategy,a69a20f698fe4c09b59e632549b2c35c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 09:30:00-05:00,MyStrategy,a69a20f698fe4c09b59e632549b2c35c,SPY,buy,market,fill,1,gtc,0.0,1,stock,329.70001220703125,1.0,0.0
2020-01-16 12:30:00-05:00,MyStrategy,7cbedb45d3d94e0998e9240808e592be,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 12:30:00-05:00,MyStrategy,7cbedb45d3d94e0998e9240808e592be,SPY,buy,market,fill,1,gtc,0.0,1,stock,329.70001220703125,1.0,0.0
2020-01-16 15:30:00-05:00,MyStrategy,552985e819b24f3190fdded265c18b07,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 15:30:00-05:00,MyStrategy,552985e819b24f3190fdded265c18b07,SPY,buy,market,fill,1,gtc,0.0,1,stock,329.70001220703125,1.0,0.0
2020-01-17 09:30:00-05:00,MyStrategy,b3ecb3beba0246bb8866c4e84e16c426,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 09:30:00-05:00,MyStrategy,b3ecb3beba0246bb8866c4e84e16c426,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.70001220703125,1.0,0.0
2020-01-17 12:30:00-05:00,MyStrategy,e9d03bf614f245549657eec0e38211ad,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 12:30:00-05:00,MyStrategy,e9d03bf614f245549657eec0e38211ad,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.70001220703125,1.0,0.0
2020-01-17 15:30:00-05:00,MyStrategy,bd8f034032bc4a5aaacb74a6d1ccaee9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 15:30:00-05:00,MyStrategy,bd8f034032bc4a5aaacb74a6d1ccaee9,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.70001220703125,1.0,0.0
2020-01-21 09:30:00-05:00,MyStrategy,ae9a8fca5d134008be6a1047077a93e9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-21 09:30:00-05:00,MyStrategy,ae9a8fca5d134008be6a1047077a93e9,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.8999938964844,1.0,0.0
2020-01-21 12:30:00-05:00,MyStrategy,dadef03a72f44232ae174f6ea804aafa,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-21 12:30:00-05:00,MyStrategy,dadef03a72f44232ae174f6ea804aafa,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.8999938964844,1.0,0.0
2020-01-21 15:30:00-05:00,MyStrategy,ed5a09edbf5941e88a01dd2ec90d1c42,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-21 15:30:00-05:00,MyStrategy,ed5a09edbf5941e88a01dd2ec90d1c42,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.8999938964844,1.0,0.0
2020-01-22 09:30:00-05:00,MyStrategy,cf11ebfbc7a94c8987df8a882f19251b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
